box_id,touches_roms,is_fully_covered_by_roms
0,FALSE,FALSE
1,FALSE,FALSE
2,FALSE,FALSE
3,FALSE,FALSE
4,FALSE,FALSE
5,FALSE,FALSE
6,FALSE,FALSE
7,FALSE,FALSE
8,FALSE,FALSE
9,TRUE,FALSE
10,TRUE,FALSE
11,TRUE,FALSE
12,TRUE,FALSE
13,TRUE,FALSE
14,TRUE,FALSE
15,TRUE,FALSE
16,TRUE,TRUE
17,TRUE,TRUE
18,TRUE,TRUE
19,TRUE,TRUE
20,TRUE,TRUE
21,TRUE,TRUE
22,TRUE,TRUE
23,TRUE,TRUE
24,TRUE,TRUE
25,TRUE,TRUE
26,TRUE,TRUE
27,TRUE,TRUE
28,TRUE,TRUE
29,TRUE,TRUE
30,TRUE,TRUE
31,TRUE,TRUE
32,TRUE,TRUE
33,TRUE,TRUE
34,TRUE,TRUE
35,TRUE,TRUE
36,TRUE,TRUE
37,TRUE,TRUE
38,TRUE,TRUE
39,TRUE,TRUE
40,TRUE,TRUE
41,TRUE,TRUE
42,TRUE,TRUE
43,TRUE,TRUE
44,TRUE,TRUE
45,TRUE,TRUE
46,TRUE,TRUE
47,TRUE,TRUE
48,TRUE,TRUE
49,TRUE,TRUE
50,TRUE,TRUE
51,TRUE,TRUE
52,TRUE,TRUE
53,TRUE,TRUE
54,TRUE,TRUE
55,TRUE,TRUE
56,TRUE,TRUE
57,TRUE,TRUE
58,TRUE,TRUE
59,TRUE,TRUE
60,TRUE,TRUE
61,TRUE,TRUE
62,TRUE,FALSE
63,TRUE,FALSE
64,TRUE,FALSE
65,TRUE,FALSE
66,TRUE,FALSE
67,TRUE,FALSE
68,FALSE,FALSE
69,FALSE,FALSE
70,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
73,FALSE,FALSE
74,FALSE,FALSE
75,FALSE,FALSE
76,FALSE,FALSE
77,FALSE,FALSE
78,TRUE,FALSE
79,TRUE,TRUE
80,TRUE,TRUE
81,TRUE,TRUE
82,TRUE,TRUE
83,TRUE,TRUE
84,TRUE,TRUE
85,TRUE,TRUE
86,TRUE,FALSE
87,FALSE,FALSE
88,FALSE,FALSE
